"","lon","lat","MunicipalityID","COD_DANE","Department Name","Municipality Name","Rural Population","Urban Population","Total Population"
"1","-75.45215189","5.795307338","11832",5002,"ANTIOQUIA","ABEJORRAL","13978","6271","20249"
"2","-73.18507643","8.000049161","12110",54003,"NORTE DE SANTANDER","ABREGO","20119","14373","34492"
"3","-76.09037117","6.625740004","11844",5004,"ANTIOQUIA","ABRIAQUI","1832","858","2690"
"4","-73.78019959","4.009280924","12026",50006,"META","ACACIAS","9444","44775","54219"
"5","-77.30205342","8.406570601","12331",27006,"CHOCO","ACANDI","5348","5107","10455"
"6","-75.97069794","1.68855115","12688",41006,"HUILA","ACEVEDO","21828","4556","26384"
"7","-74.50647611","8.585479546","11654",13006,"BOLIVAR","ACHI","16320","3324","19644"
"8","-75.74884275","2.283488874","11874",41013,"HUILA","AGRADO","3903","4586","8489"
"9","-74.68999905","4.358418893","11975",25001,"CUNDINAMARCA","AGUA DE DIOS","2750","9072","11822"
"10","-73.62439764","8.243963259","11891",20011,"CESAR","AGUACHICA","13296","69039","82335"
"11","-73.52746038","6.160192527","11979",68013,"SANTANDER","AGUADA","1884","233","2117"
"12","-75.48740396","5.590258673","12034",17013,"CALDAS","AGUADAS","14041","10267","24308"
"13","-72.5716454","5.099226116","12099",85010,"CASANARE","AGUAZUL","7916","20411","28327"
"14","-73.26929475","9.930926218","12497",20013,"CESAR","AGUSTIN CODAZZI","15404","38565","53969"
"15","-75.38144319","3.253804021","12418",41016,"HUILA","AIPE","7639","12144","19783"
"16","-74.46906841","4.884489565","12577",25019,"CUNDINAMARCA","ALBAN","4361","1591","5952"
"17","-73.8645864","5.770643249","11659",68020,"SANTANDER","ALBANIA","4035","438","4473"
"18","-75.81448044","4.651210452","12032",76020,"VALLE DEL CAUCA","ALCALA","8265","9303","17568"
"19","-77.73490699","0.912045058","12557",52022,"NARINO","ALDANA","5079","1771","6850"
"20","-75.11498943","6.35254241","11965",5021,"ANTIOQUIA","ALEJANDRIA","1920","1896","3816"
"21","-74.11994676","10.26620174","11798",47030,"MAGDALENA","ALGARROBO","4414","7364","11778"
"22","-75.2334172","2.544756782","11989",41020,"HUILA","ALGECIRAS","9587","13840","23427"
"23","-76.88272375","1.90887056","12251",19022,"CAUCA","ALMAGUER","18812","1651","20463"
"24","-73.41130827","4.92260471","12476",15022,"BOYACA","ALMEIDA","1985","309","2294"
"25","-74.96218186","3.37460345","12585",73024,"TOLIMA","ALPUJARRA","3352","1822","5174"
"26","-75.80446038","2.054972968","11790",41026,"HUILA","ALTAMIRA","1175","2416","3591"
"27","-77.07600707","5.629387079","12385",27025,"CHOCO","ALTO BAUDO","22739","6222","28961"
